iucn_sid;am_sid;sciname;cat_code;pop_trend;spatial_source;rgn_id;rgn_name;n_cells;presence;n_spp_rgn
155001;Fis-51744;Chalixodytes tauensis;LC;unknown;am;137;Ecuador;4;NA;5057
155003;Fis-143830;Astronesthes nigroides;LC;unknown;am;137;Ecuador;5;NA;5057
155009;Fis-143777;Pseudobathylagus milleri;LC;unknown;am;137;Ecuador;175;NA;5057
155012;Fis-50053;Sternoptyx obscura;LC;unknown;am;137;Ecuador;393;NA;5057
155014;Fis-22977;Alectis ciliaris;LC;unknown;am;137;Ecuador;38;NA;5057
155030;Fis-22897;Macroramphosus scolopax;LC;unknown;am;137;Ecuador;58;NA;5057
155036;Fis-34843;Caulolatilus hubbsi;LC;unknown;am;137;Ecuador;41;NA;5057
155037;Fis-133526;Physiculus parini;DD;NA;am;137;Ecuador;154;NA;5057
155045;Fis-149221;Merluccius hernandezi;DD;NA;am;137;Ecuador;9;NA;5057
155051;Fis-113787;Microgobius tabogensis;LC;unknown;am;137;Ecuador;6;NA;5057
155068;Fis-24930;Remora brachyptera;LC;stable;am;137;Ecuador;404;NA;5057
155074;Fis-144830;Patagonotothen cornucola;LC;unknown;am;137;Ecuador;23;NA;5057
155075;Fis-7669;Remora albescens;LC;unknown;am;137;Ecuador;405;NA;5057
155077;Fis-116901;Lycenchelys monstrosa;LC;unknown;am;137;Ecuador;213;NA;5057
155091;Fis-26152;Enchelycore schismatorhynchus;LC;unknown;am;137;Ecuador;13;NA;5057
155093;Fis-32362;Derichthys serpentinus;LC;unknown;am;137;Ecuador;404;NA;5057
155106;Fis-50459;Kali macrodon;LC;unknown;am;137;Ecuador;380;NA;5057
155107;Fis-27266;Monopenchelys acuta;LC;unknown;am;137;Ecuador;27;NA;5057
155117;Fis-134169;Melamphaes spinifer;LC;unknown;am;137;Ecuador;359;NA;5057
155121;Fis-24851;Paraclinus integripinnis;LC;stable;am;137;Ecuador;6;NA;5057
155130;Fis-29766;Caranx sexfasciatus;LC;decreasing;am;137;Ecuador;45;NA;5057
155141;Fis-51533;Kaupichthys brachychirus;LC;unknown;am;137;Ecuador;8;NA;5057
155142;Fis-132758;Laemonema rhodochir;LC;unknown;am;137;Ecuador;28;NA;5057
155153;Fis-32296;Atherion elymus;LC;unknown;am;137;Ecuador;24;NA;5057
155156;Fis-58278;Lepidonectes corallicola;VU;stable;am;137;Ecuador;19;NA;5057
155159;Fis-23866;Trachinotus rhodopus;LC;stable;am;137;Ecuador;43;NA;5057
155160;Fis-31001;Hygophum proximum;LC;unknown;am;137;Ecuador;404;NA;5057
155165;Fis-31914;Corythoichthys amplexus;LC;decreasing;am;137;Ecuador;43;NA;5057
155172;Fis-26943;Pontinus macrocephalus;LC;unknown;am;137;Ecuador;26;NA;5057
155178;Fis-112180;Heteroconger klausewitzi;LC;unknown;am;137;Ecuador;16;NA;5057
155189;Fis-50311;Scopeloberyx opisthopterus;LC;unknown;am;137;Ecuador;375;NA;5057
155190;Fis-133336;Simenchelys parasitica;LC;unknown;am;137;Ecuador;237;NA;5057
155203;Fis-55811;Talismania bifurcata;LC;unknown;am;137;Ecuador;107;NA;5057
155205;Fis-32745;Caulolatilus affinis;LC;stable;am;137;Ecuador;43;NA;5057
155222;Fis-35124;Pentaceros japonicus;LC;unknown;am;137;Ecuador;52;NA;5057
155224;Fis-25831;Scorpaenodes hirsutus;LC;unknown;am;137;Ecuador;35;NA;5057
155245;Fis-24802;Mulloidichthys dentatus;LC;stable;am;137;Ecuador;41;NA;5057
155246;Fis-33179;Synaphobranchus kaupii;LC;stable;am;137;Ecuador;89;NA;5057
155257;Fis-47311;Cheilopogon rapanouiensis;LC;unknown;am;137;Ecuador;11;NA;5057
155277;Fis-166689;Antennarius analis;LC;unknown;am;137;Ecuador;2;NA;5057
155278;Fis-113900;Microgobius erectus;LC;unknown;am;137;Ecuador;40;NA;5057
155293;Fis-28965;Pomadasys panamensis;LC;unknown;am;137;Ecuador;37;NA;5057
155298;Fis-134175;Careproctus pallidus;DD;NA;am;137;Ecuador;22;NA;5057
155305;Fis-145428;Oneirodes luetkeni;DD;NA;am;137;Ecuador;377;NA;5057
155309;Fis-22885;Isacia conceptionis;LC;unknown;am;137;Ecuador;18;NA;5057
155310;Fis-24449;Atherinomorus stipes;LC;stable;am;137;Ecuador;35;NA;5057
155320;Fis-149461;Nannobrachium gibbsi;LC;unknown;am;137;Ecuador;108;NA;5057
155322;Fis-54508;Plectrogenium nanum;LC;unknown;am;137;Ecuador;41;NA;5057
155329;Fis-130876;Ophichthus altipennis;LC;unknown;am;137;Ecuador;38;NA;5057
158627;Fis-26192;Pseudanthias pleurotaenia;LC;unknown;am;137;Ecuador;14;NA;5057
162562;W-Msc-342190;Heteroteuthis hawaiiensis;DD;NA;am;137;Ecuador;44;NA;5057
162587;W-Msc-141548;Spirula spirula;LC;unknown;am;137;Ecuador;66;NA;5057
162644;W-Msc-141446;Heteroteuthis dispar;DD;NA;am;137;Ecuador;79;NA;5057
162899;SLB-70958;Amphitretus pelagicus;LC;unknown;am;137;Ecuador;146;NA;5057
162906;W-Msc-139424;Helicocranchia pfefferi;DD;NA;am;137;Ecuador;403;NA;5057
162909;SLB-71435;Egea inermis;LC;unknown;am;137;Ecuador;150;NA;5057
162910;SLB-71429;Chtenopteryx sicula;DD;NA;am;137;Ecuador;396;NA;5057
162926;W-Msc-342313;Eucleoteuthis luminosa;LC;unknown;am;137;Ecuador;94;NA;5057
162939;W-Msc-410348;Cirrothauma magna;DD;NA;am;137;Ecuador;226;NA;5057
162941;W-Msc-181386;Cranchia scabra;LC;unknown;am;137;Ecuador;403;NA;5057
162948;SLB-71450;Liguriella podophthalma;DD;NA;am;137;Ecuador;387;NA;5057
162950;SLB-71523;Gonatus onyx;LC;unknown;am;137;Ecuador;15;NA;5057
162959;W-Msc-342291;Dosidicus gigas;DD;NA;am;137;Ecuador;87;NA;5057
162961;W-Msc-196598;Joubiniteuthis portieri;LC;unknown;am;137;Ecuador;387;NA;5057
162986;W-Msc-138849;Japetella diaphana;LC;unknown;am;137;Ecuador;396;NA;5057
162988;W-Msc-141962;Vitreledonella richardi;LC;unknown;am;137;Ecuador;75;NA;5057
163011;W-Msc-139174;Cirrothauma murrayi;DD;NA;am;137;Ecuador;79;NA;5057
163063;SLB-71492;Abraliopsis hoylei;DD;NA;am;137;Ecuador;46;NA;5057
163065;W-Msc-342092;Opisthoteuthis californiana;DD;NA;am;137;Ecuador;10;NA;5057
163067;W-Msc-342386;Sandalops melancholicus;DD;NA;am;137;Ecuador;150;NA;5057
163080;W-Msc-138803;Argonauta argo;LC;unknown;am;137;Ecuador;45;NA;5057
163083;SLB-70964;Argonauta nouryi;LC;unknown;am;137;Ecuador;43;NA;5057
163089;W-Msc-342242;Pyroteuthis addolux;LC;unknown;am;137;Ecuador;13;NA;5057
163094;SLB-71490;Abraliopsis felis;LC;unknown;am;137;Ecuador;12;NA;5057
163125;SLB-70961;Argonauta cornuta;DD;NA;am;137;Ecuador;38;NA;5057
163152;W-Msc-342066;Sthenoteuthis oualaniensis;LC;unknown;am;137;Ecuador;74;NA;5057
163163;W-Msc-181382;Ommastrephes bartramii;LC;unknown;am;137;Ecuador;108;NA;5057
163184;W-Msc-341825;Abralia andamanica;LC;unknown;am;137;Ecuador;24;NA;5057
163207;SLB-70957;Haliphron atlanticus;LC;unknown;am;137;Ecuador;403;NA;5057
163211;W-Msc-215276;Argonauta hians;LC;unknown;am;137;Ecuador;100;NA;5057
163218;W-Msc-341818;Liocranchia reinhardti;LC;unknown;am;137;Ecuador;405;NA;5057
163228;W-Msc-141680;Thysanoteuthis rhombus;LC;unknown;am;137;Ecuador;240;NA;5057
163256;SLB-71465;Discoteuthis discus;LC;unknown;am;137;Ecuador;61;NA;5057
163267;W-Msc-140609;Taningia danae;LC;unknown;am;137;Ecuador;393;NA;5057
163276;SLB-71462;Teuthowenia pellucida;LC;unknown;am;137;Ecuador;69;NA;5057
163288;W-Msc-138848;Bathyteuthis abyssicola;LC;unknown;am;137;Ecuador;379;NA;5057
163294;W-Msc-342337;Hyaloteuthis pelagica;LC;unknown;am;137;Ecuador;119;NA;5057
163312;W-Msc-157017;Bolitaena pygmaea;LC;unknown;am;137;Ecuador;100;NA;5057
163338;W-Msc-139422;Bathothauma lyromma;LC;unknown;am;137;Ecuador;150;NA;5057
163347;W-Msc-181379;Octopoteuthis sicula;DD;NA;am;137;Ecuador;396;NA;5057
163353;W-Msc-157031;Pyroteuthis margaritifera;LC;unknown;am;137;Ecuador;402;NA;5057
163375;W-Msc-140649;Onychoteuthis banksii;DD;NA;am;137;Ecuador;66;NA;5057
166077;Fis-26815;Eleotris fusca;LC;stable;am;137;Ecuador;30;NA;5057
166138;Fis-35863;Bostrychus sinensis;LC;stable;am;137;Ecuador;39;NA;5057
166189;Fis-29637;Anguilla marmorata;LC;unknown;am;137;Ecuador;54;NA;5057
167010;Fis-27587;Oxyurichthys tentacularis;DD;NA;am;137;Ecuador;41;NA;5057
170350;Fis-29358;Coryphaena equiselis;LC;stable;am;137;Ecuador;405;NA;5057
172443;Fis-26425;Bathygobius fuscus;LC;stable;am;137;Ecuador;40;NA;5057
172497;Fis-27428;Zenarchopterus dispar;LC;unknown;am;137;Ecuador;19;NA;5057
174487;W-Msc-141694;Tremoctopus violaceus;LC;unknown;am;137;Ecuador;49;NA;5057
176066;SLB-71422;Chiroteuthis veranyi;LC;unknown;am;137;Ecuador;388;NA;5057
176079;W-Msc-341869;Stigmatoteuthis dofleini;LC;unknown;am;137;Ecuador;63;NA;5057
176088;W-Msc-141097;Pterygioteuthis giardi;LC;unknown;am;137;Ecuador;59;NA;5057
178051;Fis-28979;Cynoponticus coniceps;DD;NA;am;137;Ecuador;29;NA;5057
178054;Fis-141241;Myroconger nigrodentatus;LC;unknown;am;137;Ecuador;32;NA;5057
178060;Fis-138579;Ammodytoides gilli;LC;unknown;am;137;Ecuador;38;NA;5057
178062;Fis-34247;Centropomus armatus;LC;unknown;am;137;Ecuador;10;NA;5057
178063;Fis-31834;Centropomus medius;LC;unknown;am;137;Ecuador;3;NA;5057
178064;Fis-31833;Centropomus nigrescens;LC;unknown;am;137;Ecuador;41;NA;5057
178066;Fis-34253;Centropomus unionensis;LC;unknown;am;137;Ecuador;37;NA;5057
178067;Fis-31835;Centropomus viridis;LC;unknown;am;137;Ecuador;36;NA;5057
178070;Fis-31827;Cirrhitus rivulatus;LC;stable;am;137;Ecuador;20;NA;5057
178072;Fis-24489;Chaetodipterus zonatus;LC;unknown;am;137;Ecuador;41;NA;5057
178074;Fis-32765;Parapsettus panamensis;LC;unknown;am;137;Ecuador;28;NA;5057
178084;Fis-145536;Clarkichthys bilineatus;DD;NA;am;137;Ecuador;20;NA;5057
178088;Fis-145535;Microdesmus dorsipunctatus;DD;NA;am;137;Ecuador;26;NA;5057
178102;Fis-24919;Pristigenys serrula;LC;unknown;am;137;Ecuador;41;NA;5057
178106;Fis-31825;Sphyraena ensis;LC;unknown;am;137;Ecuador;40;NA;5057
178107;Fis-32770;Sphyraena idiastes;LC;unknown;am;137;Ecuador;41;NA;5057
178111;Fis-32753;Fistularia corneta;LC;unknown;am;137;Ecuador;43;NA;5057
178889;Fis-114179;Enneapterygius rhabdotus;LC;unknown;am;137;Ecuador;10;NA;5057
178892;Fis-114721;Ucla xenogrammus;LC;unknown;am;137;Ecuador;27;NA;5057
178894;Fis-121781;Enneapterygius flavoccipitis;LC;unknown;am;137;Ecuador;35;NA;5057
178912;Fis-27038;Helcogramma ellioti;LC;unknown;am;137;Ecuador;40;NA;5057
178913;Fis-125753;Enneapterygius fuscoventer;LC;unknown;am;137;Ecuador;7;NA;5057
178928;Fis-125780;Enneapterygius signicauda;LC;unknown;am;137;Ecuador;16;NA;5057
178932;Fis-114251;Enneapterygius tutuilae;LC;unknown;am;137;Ecuador;39;NA;5057
178951;Fis-122963;Springerichthys kulbickii;LC;unknown;am;137;Ecuador;9;NA;5057
178957;Fis-114174;Enneapterygius pyramis;LC;unknown;am;137;Ecuador;14;NA;5057
178986;Fis-62642;Enneapterygius rufopileus;LC;unknown;am;137;Ecuador;7;NA;5057
178989;Fis-29088;Helcogramma hudsoni;LC;unknown;am;137;Ecuador;14;NA;5057
178991;Fis-125787;Enneapterygius williamsi;LC;unknown;am;137;Ecuador;4;NA;5057
179012;Fis-32865;Helcogramma capidata;LC;unknown;am;137;Ecuador;4;NA;5057
179043;Fis-114650;Norfolkia thomasi;LC;unknown;am;137;Ecuador;11;NA;5057
179062;Fis-125765;Enneapterygius nigricauda;LC;unknown;am;137;Ecuador;24;NA;5057
179074;Fis-29085;Enneapterygius minutus;LC;stable;am;137;Ecuador;7;NA;5057
179085;Fis-121783;Enneapterygius philippinus;LC;unknown;am;137;Ecuador;33;NA;5057
179102;Fis-50584;Enneapterygius elegans;LC;unknown;am;137;Ecuador;38;NA;5057
179109;Fis-32866;Helcogramma chica;LC;unknown;am;137;Ecuador;27;NA;5057
179112;Fis-29084;Enneapterygius hemimelas;LC;unknown;am;137;Ecuador;7;NA;5057
181547;Fis-58490;Microphis brachyurus;LC;unknown;am;137;Ecuador;33;NA;5057
183158;Fis-26659;Kuhlia rupestris;LC;stable;am;137;Ecuador;37;NA;5057
183208;Fis-169086;Genyatremus pacifici;LC;unknown;am;137;Ecuador;26;NA;5057
183210;Fis-35604;Symphurus undecimplerus;LC;unknown;am;137;Ecuador;40;NA;5057
183211;Fis-113413;Eucinostomus dowii;LC;unknown;am;137;Ecuador;43;NA;5057
183213;Fis-30649;Selene peruviana;LC;unknown;am;137;Ecuador;43;NA;5057
183215;Fis-35605;Symphurus varius;LC;unknown;am;137;Ecuador;15;NA;5057
183217;Fis-23665;Neoopisthopterus tropicus;LC;unknown;am;137;Ecuador;30;NA;5057
183218;Fis-113904;Microgobius brevispinis;LC;unknown;am;137;Ecuador;3;NA;5057
183220;Fis-24364;Synodus lucioceps;LC;unknown;am;137;Ecuador;21;NA;5057
183221;Fis-138562;Myxodagnus sagitta;VU;unknown;am;137;Ecuador;15;NA;5057
183224;Fis-28983;Gymnothorax dovii;LC;unknown;am;137;Ecuador;33;NA;5057
183225;Fis-24717;Kyphosus analogus;LC;stable;am;137;Ecuador;40;NA;5057
183227;Fis-25011;Symphurus atricaudus;LC;unknown;am;137;Ecuador;43;NA;5057
183229;Fis-123142;Synchiropus atrilabiatus;LC;unknown;am;137;Ecuador;45;NA;5057
183232;Fis-35583;Monolene maculipinna;LC;unknown;am;137;Ecuador;40;NA;5057
183233;Fis-136340;Tomicodon zebra;LC;unknown;am;137;Ecuador;29;NA;5057
183235;Fis-30439;Opisthonema medirastre;LC;unknown;am;137;Ecuador;42;NA;5057
183237;Fis-165597;Ariosoma prorigerum;LC;unknown;am;137;Ecuador;18;NA;5057
183245;Fis-23350;Anchoa ischana;LC;unknown;am;137;Ecuador;36;NA;5057
183246;Fis-28985;Gymnothorax panamensis;LC;unknown;am;137;Ecuador;42;NA;5057
183250;Fis-113165;Gobiesox adustus;LC;unknown;am;137;Ecuador;43;NA;5057
183254;Fis-141528;Schedophilus haedrichi;LC;unknown;am;137;Ecuador;396;NA;5057
183256;Fis-26930;Anisotremus scapularis;LC;unknown;am;137;Ecuador;27;NA;5057
183257;Fis-24542;Dormitator latifrons;LC;stable;am;137;Ecuador;12;NA;5057
183259;Fis-58216;Apogon atradorsatus;LC;unknown;am;137;Ecuador;41;NA;5057
183263;Fis-32722;Synodus lacertinus;LC;unknown;am;137;Ecuador;43;NA;5057
183268;Fis-29027;Syacium ovale;LC;unknown;am;137;Ecuador;41;NA;5057
183269;Fis-158907;Ogilbia robertsoni;LC;unknown;am;137;Ecuador;6;NA;5057
183271;Fis-29063;Stellifer minor;LC;unknown;am;137;Ecuador;3;NA;5057
183274;Fis-58684;Tylosurus crocodilus;LC;unknown;am;137;Ecuador;3;NA;5057
183278;Fis-28025;Cynoscion stolzmanni;LC;unknown;am;137;Ecuador;38;NA;5057
183281;Fis-35764;Pontinus furcirhinus;LC;unknown;am;137;Ecuador;43;NA;5057
183285;Fis-113822;Microgobius emblematicus;LC;unknown;am;137;Ecuador;42;NA;5057
183287;Fis-28949;Hirundichthys marginatus;LC;unknown;am;137;Ecuador;405;NA;5057
183292;Fis-28886;Trinectes fimbriatus;LC;unknown;am;137;Ecuador;37;NA;5057
183293;Fis-13477;Caranx vinctus;LC;unknown;am;137;Ecuador;306;NA;5057
183294;Fis-25008;Strongylura exilis;LC;unknown;am;137;Ecuador;43;NA;5057
183297;Fis-35589;Paraconger californiensis;LC;unknown;am;137;Ecuador;25;NA;5057
183298;Fis-26914;Pseudobalistes naufragium;LC;unknown;am;137;Ecuador;33;NA;5057
183300;Fis-132621;Bellator farrago;LC;unknown;am;137;Ecuador;21;NA;5057
183301;Fis-30513;Porichthys myriaster;LC;unknown;am;137;Ecuador;19;NA;5057
183309;Fis-23341;Anchoa argentivittata;LC;unknown;am;137;Ecuador;43;NA;5057
183311;Fis-29441;Lutjanus novemfasciatus;LC;unknown;am;137;Ecuador;43;NA;5057
183312;Fis-148634;Chlopsis apterus;LC;unknown;am;137;Ecuador;29;NA;5057
183313;Fis-28964;Pomadasys macracanthus;LC;unknown;am;137;Ecuador;21;NA;5057
183315;Fis-143613;Ogcocephalus porrectus;LC;unknown;am;137;Ecuador;37;NA;5057
183317;Fis-23530;Haemulon steindachneri;LC;unknown;am;137;Ecuador;43;NA;5057
183319;Fis-113620;Coralliozetus springeri;LC;unknown;am;137;Ecuador;18;NA;5057
183320;Fis-26967;Paraclinus altivelis;DD;NA;am;137;Ecuador;41;NA;5057
183322;Fis-35641;Uropterygius versutus;LC;unknown;am;137;Ecuador;30;NA;5057
183324;Fis-29759;Caranx caninus;LC;unknown;am;137;Ecuador;377;NA;5057
183329;Fis-113429;Apogon atricaudus;LC;unknown;am;137;Ecuador;6;NA;5057
183330;Fis-169081;Xenistius californiensis;LC;unknown;am;137;Ecuador;40;NA;5057
183331;Fis-28887;Trinectes fluviatilis;LC;unknown;am;137;Ecuador;26;NA;5057
183333;Fis-35640;Uropterygius polystictus;DD;NA;am;137;Ecuador;30;NA;5057
183334;Fis-22792;Lutjanus peru;LC;unknown;am;137;Ecuador;42;NA;5057
183335;Fis-113838;Lythrypnus pulchellus;LC;unknown;am;137;Ecuador;36;NA;5057
183336;Fis-23595;Lile stolifera;LC;unknown;am;137;Ecuador;39;NA;5057
183339;Fis-29074;Peprilus medius;LC;unknown;am;137;Ecuador;40;NA;5057
183342;Fis-35703;Isopisthus remifer;LC;unknown;am;137;Ecuador;24;NA;5057
183344;Fis-150709;Stellifer walkeri;DD;NA;am;137;Ecuador;6;NA;5057
183353;Fis-25017;Cosmocampus arctus;LC;unknown;am;137;Ecuador;8;NA;5057
183355;Fis-24832;Ophidion scrippsae;LC;unknown;am;137;Ecuador;41;NA;5057
183362;Fis-29022;Cyclopsetta querna;LC;unknown;am;137;Ecuador;42;NA;5057
183363;Fis-24760;Lythrypnus dalli;LC;stable;am;137;Ecuador;43;NA;5057
183370;Fis-35790;Astroscopus zephyreus;LC;unknown;am;137;Ecuador;37;NA;5057
183372;Fis-58269;Quassiremus evionthas;VU;unknown;am;137;Ecuador;33;NA;5057
183374;Fis-35685;Hippoglossina bollmani;LC;unknown;am;137;Ecuador;39;NA;5057
183375;Fis-26946;Echidna nocturna;LC;unknown;am;137;Ecuador;43;NA;5057
183376;Fis-55967;Symphurus elongatus;LC;unknown;am;137;Ecuador;42;NA;5057
183377;Fis-35677;Lepophidium negropinna;LC;unknown;am;137;Ecuador;53;NA;5057
183380;Fis-35700;Larimus pacificus;LC;unknown;am;137;Ecuador;37;NA;5057
183384;Fis-151399;Paraconger similis;LC;unknown;am;137;Ecuador;29;NA;5057
183385;Fis-131312;Ophichthus longipenis;LC;unknown;am;137;Ecuador;1;NA;5057
183386;Fis-35701;Larimus effulgens;LC;unknown;am;137;Ecuador;26;NA;5057
183389;Fis-28883;Achirus klunzingeri;LC;unknown;am;137;Ecuador;33;NA;5057
183390;Fis-29032;Ophioscion scierus;LC;unknown;am;137;Ecuador;38;NA;5057
183392;Fis-35673;Phaenomonas pinnata;LC;unknown;am;137;Ecuador;10;NA;5057
183395;Fis-58212;Xenocys jessiae;VU;unknown;am;137;Ecuador;18;NA;5057
183396;Fis-113497;Heteristius cinctus;LC;unknown;am;137;Ecuador;16;NA;5057
183402;Fis-123600;Ophidion imitator;LC;unknown;am;137;Ecuador;8;NA;5057
183403;Fis-137761;Apogon pacificus;LC;unknown;am;137;Ecuador;43;NA;5057
183408;Fis-113441;Enneanectes reticulatus;LC;unknown;am;137;Ecuador;6;NA;5057
183410;Fis-29095;Bellator loxias;LC;unknown;am;137;Ecuador;41;NA;5057
183417;Fis-113825;Lythrypnus rhizophora;DD;NA;am;137;Ecuador;38;NA;5057
183418;Fis-113162;Arcos rhodospilus;LC;unknown;am;137;Ecuador;41;NA;5057
183419;Fis-113426;Apogon retrosella;LC;unknown;am;137;Ecuador;43;NA;5057
183420;Fis-113513;Malacoctenus ebisui;LC;unknown;am;137;Ecuador;38;NA;5057
183421;Fis-58248;Coryphopterus urospilus;LC;unknown;am;137;Ecuador;39;NA;5057
183426;Fis-25051;Zalieutes elater;LC;unknown;am;137;Ecuador;42;NA;5057
183428;Fis-35684;Etropus peruvianus;LC;unknown;am;137;Ecuador;26;NA;5057
183429;Fis-30433;Oligoplites refulgens;LC;unknown;am;137;Ecuador;40;NA;5057
183430;Fis-132108;Neobythites stelliferoides;LC;unknown;am;137;Ecuador;47;NA;5057
