rgn_id,product,year,tonnes
2,ornamentals,2000,49
2,ornamentals,2001,46.25
2,ornamentals,2002,46.5
2,ornamentals,2003,50.75
2,ornamentals,2004,43.25
2,ornamentals,2005,32.75
2,ornamentals,2006,23.75
2,ornamentals,2007,12.5
2,ornamentals,2008,12.25
2,ornamentals,2009,12
2,ornamentals,2010,11.5
2,ornamentals,2011,13.75
2,ornamentals,2012,18.25
2,ornamentals,2013,15.75
2,ornamentals,2014,10.75
2,ornamentals,2015,6
2,seaweeds,1996,0.1
2,seaweeds,1997,1.55
2,seaweeds,1998,1.03333333333333
2,seaweeds,1999,2.775
2,seaweeds,2000,5
2,seaweeds,2001,5.75
2,seaweeds,2002,7
2,seaweeds,2003,6.75
2,seaweeds,2004,6
2,seaweeds,2005,6.25
2,seaweeds,2006,8.5
2,seaweeds,2007,12.25
2,seaweeds,2008,16.75
2,seaweeds,2009,18.75
2,seaweeds,2010,22
2,seaweeds,2011,23
2,seaweeds,2012,24
2,seaweeds,2013,22
2,seaweeds,2014,15.25
2,seaweeds,2015,8.75
